Id,SalePrice
1461,118589.64
1462,169128.12
1463,184302.8
1464,193409.4
1465,188237.61
1466,179565.03
1467,178521.48
1468,169725.66
1469,190413.05
1470,129193.39
1471,181571.67
1472,98814.31
1473,101396.52
1474,146012.3
1475,108783.35
1476,376837.6
1477,253471.4
1478,269029.0
1479,294229.56
1480,470449.47
1481,319595.0
1482,200249.81
1483,175296.4
1484,165333.27
1485,182327.56
1486,191932.45
1487,353364.38
1488,223862.84
1489,194419.77
1490,242481.86
1491,191045.92
1492,91305.695
1493,181895.81
1494,291486.7
1495,279383.0
1496,255050.75
1497,180146.58
1498,172178.7
1499,169670.7
1500,160612.64
1501,170533.55
1502,154227.8
1503,320374.28
1504,244209.23
1505,227242.56
1506,187946.92
1507,262226.06
1508,206211.25
1509,164332.02
1510,150802.11
1511,154214.78
1512,171108.0
1513,146907.89
1514,151448.53
1515,197413.1
1516,149883.16
1517,166289.36
1518,128282.164
1519,208201.16
1520,133078.94
1521,134888.88
1522,173136.39
1523,112281.61
1524,117922.11
1525,121401.09
1526,112103.78
1527,112048.805
1528,131249.38
1529,151920.72
1530,185106.55
1531,121420.27
1532,99980.28
1533,135729.3
1534,122055.69
1535,138493.47
1536,108024.4
1537,53531.53
1538,147512.95
1539,207700.7
1540,96552.28
1541,138059.81
1542,137162.02
1543,202757.42
1544,87867.56
1545,112314.71
1546,137865.64
1547,133964.34
1548,136237.75
1549,116135.19
1550,134004.53
1551,103996.58
1552,144553.06
1553,140898.14
1554,121644.234
1555,160558.06
1556,85227.19
1557,102971.11
1558,103424.375
1559,87936.63
1560,123811.414
1561,122644.625
1562,131390.11
1563,118212.53
1564,157316.98
1565,151313.9
1566,258111.31
1567,80197.16
1568,238834.89
1569,140729.84
1570,139237.52
1571,114944.875
1572,140765.55
1573,259474.64
1574,118400.945
1575,221391.66
1576,250662.1
1577,185722.5
1578,147799.95
1579,138102.38
1580,195713.81
1581,152243.5
1582,129902.836
1583,307966.3
1584,219898.94
1585,138738.8
1586,71585.28
1587,108186.55
1588,152844.62
1589,97314.49
1590,137216.94
1591,93280.266
1592,117091.58
1593,128370.74
1594,139825.05
1595,105506.72
1596,226082.73
1597,175163.36
1598,203551.8
1599,168052.06
1600,156235.97
1601,62709.508
1602,110001.2
1603,99381.78
1604,266406.47
1605,233215.62
1606,166084.62
1607,167457.72
1608,205253.03
1609,181700.83
1610,157744.89
1611,136890.19
1612,175458.95
1613,168100.1
1614,122450.77
1615,96073.68
1616,78432.73
1617,94717.97
1618,126946.07
1619,148325.36
1620,172820.31
1621,141586.14
1622,145363.3
1623,265355.72
1624,215197.9
1625,113700.79
1626,166733.19
1627,191904.39
1628,288011.3
1629,179807.61
1630,384857.7
1631,219569.14
1632,243784.94
1633,170723.75
1634,191548.06
1635,180876.95
1636,158730.06
1637,201296.22
1638,188358.11
1639,190337.05
1640,252335.4
1641,178748.12
1642,256254.92
1643,214158.08
1644,242013.53
1645,200025.23
1646,162204.58
1647,157354.98
1648,132517.1
1649,144775.77
1650,125000.586
1651,125037.86
1652,101768.75
1653,106418.06
1654,150968.89
1655,136962.25
1656,143915.66
1657,149447.36
1658,148429.1
1659,119759.27
1660,154023.67
1661,431955.66
1662,381965.38
1663,363771.7
1664,466319.3
1665,309148.1
1666,324890.78
1667,372532.5
1668,347099.4
1669,302463.97
1670,340401.16
1671,251194.53
1672,407479.03
1673,310410.1
1674,236501.31
1675,189303.27
1676,197970.92
1677,207035.34
1678,461727.5
1679,381522.28
1680,338024.2
1681,234408.56
1682,308531.56
1683,189233.19
1684,174344.67
1685,174015.38
1686,170438.58
1687,162737.92
1688,190490.42
1689,190865.58
1690,192240.77
1691,184243.95
1692,263182.97
1693,164101.88
1694,184280.6
1695,167339.64
1696,274330.03
1697,169438.25
1698,351729.3
1699,319197.25
1700,252033.08
1701,269732.56
1702,242547.3
1703,226053.84
1704,276711.1
1705,229574.12
1706,383445.25
1707,217159.16
1708,203511.08
1709,261843.06
1710,221134.77
1711,271501.66
1712,261970.53
1713,279774.16
1714,238683.3
1715,204890.48
1716,180422.47
1717,171616.66
1718,135649.08
1719,211154.16
1720,237920.61
1721,156193.95
1722,128240.89
1723,157756.02
1724,205827.72
1725,241836.72
1726,185876.08
1727,150520.9
1728,172648.62
1729,173498.14
1730,156079.14
1731,119002.69
1732,131658.75
1733,112955.836
1734,126887.914
1735,134445.98
1736,112180.23
1737,348430.2
1738,233069.62
1739,293319.6
1740,222166.83
1741,187613.14
1742,166610.08
1743,172918.9
1744,347508.6
1745,216318.81
1746,175577.4
